opcode         name                       target                     args                                                                                                                                                        kwargs
call_module    blocks_4_0_conv_pw         blocks.4.0.conv_pw         (add_8,)                                                                                                                                                    {}
call_module    blocks_4_0_bn1             blocks.4.0.bn1             (blocks_4_0_conv_pw,)                                                                                                                                       {}
call_module    blocks_4_0_act1            blocks.4.0.act1            (blocks_4_0_bn1,)                                                                                                                                           {}
call_module    blocks_4_0_conv_dw         blocks.4.0.conv_dw         (blocks_4_0_act1,)                                                                                                                                          {}
call_module    blocks_4_0_bn2             blocks.4.0.bn2             (blocks_4_0_conv_dw,)                                                                                                                                       {}
call_module    blocks_4_0_act2            blocks.4.0.act2            (blocks_4_0_bn2,)                                                                                                                                           {}
call_method    mean_13                    mean                       (blocks_4_0_act2, (2, 3))                                                                                                                                   {'keepdim': True}
call_module    blocks_4_0_se_conv_reduce  blocks.4.0.se.conv_reduce  (mean_13,)                                                                                                                                                  {}
call_module    blocks_4_0_se_act1         blocks.4.0.se.act1         (blocks_4_0_se_conv_reduce,)                                                                                                                                {}
call_module    blocks_4_0_se_conv_expand  blocks.4.0.se.conv_expand  (blocks_4_0_se_act1,)                                                                                                                                       {}
call_module    blocks_4_0_se_gate         blocks.4.0.se.gate         (blocks_4_0_se_conv_expand,)                                                                                                                                {}
call_function  mul_13                     <built-in function mul>    (blocks_4_0_act2, blocks_4_0_se_gate)                                                                                                                       {}
call_module    blocks_4_0_conv_pwl        blocks.4.0.conv_pwl        (mul_13,)                                                                                                                                                   {}
call_module    blocks_4_0_bn3             blocks.4.0.bn3             (blocks_4_0_conv_pwl,)                                                                                                                                      {}
call_module    blocks_4_1_conv_pw         blocks.4.1.conv_pw         (blocks_4_0_bn3,)                                                                                                                                           {}
call_module    blocks_4_1_bn1             blocks.4.1.bn1             (blocks_4_1_conv_pw,)                                                                                                                                       {}
call_module    blocks_4_1_act1            blocks.4.1.act1            (blocks_4_1_bn1,)                                                                                                                                           {}
call_module    blocks_4_1_conv_dw         blocks.4.1.conv_dw         (blocks_4_1_act1,)                                                                                                                                          {}
call_module    blocks_4_1_bn2             blocks.4.1.bn2             (blocks_4_1_conv_dw,)                                                                                                                                       {}
call_module    blocks_4_1_act2            blocks.4.1.act2            (blocks_4_1_bn2,)                                                                                                                                           {}
call_method    mean_14                    mean                       (blocks_4_1_act2, (2, 3))                                                                                                                                   {'keepdim': True}
call_module    blocks_4_1_se_conv_reduce  blocks.4.1.se.conv_reduce  (mean_14,)                                                                                                                                                  {}
call_module    blocks_4_1_se_act1         blocks.4.1.se.act1         (blocks_4_1_se_conv_reduce,)                                                                                                                                {}
call_module    blocks_4_1_se_conv_expand  blocks.4.1.se.conv_expand  (blocks_4_1_se_act1,)                                                                                                                                       {}
